q1 (deg),q2 (deg),q3 (deg),q4 (deg),q5 (deg),q6 (deg),x (mm),y (mm),z (mm),r_x (deg),r_y (deg),r_z (deg)
60.4763,-75.9129,93.9507,45.641,63.411,45.466,-179.243,-174.892,-61.4973,-78.2055,-17.9187,50.9015
60.6161,-69.4602,89.6667,5.4708,49.25,91.2962,-211.545,-72.257,-98.6033,-76.447,13.2597,22.4662
61.2223,-69.2391,92.5579,6.51722,71.7618,95.9481,-240.535,-84.817,-117.008,-97.8288,19.3524,25.4718
61.2732,-88.3822,73.1197,26.158,63.3961,46.938,59.7333,-156.888,-66.9506,-92.148,-38.3363,10.779
61.3781,-95.6891,76.3781,49.769,44.684,72.5599,80.489,-247.041,8.34582,-70.8891,-2.64931,20.8443
61.4279,-84.949,80.7888,30.599,67.2532,68.7693,-28.33,-150.133,-74.1881,-93.5869,-9.31,24.3383
61.5099,-75.4969,94.2762,13.333,77.2158,49.774,-199.677,-119.567,-103.952,-102.862,-25.2567,36.8605
61.6972,-98.2938,99.9101,9.49127,96.8872,88.0309,-60.5732,-223.376,-79.3619,-124.964,3.07262,10.7872
61.8468,-89.3889,92.0881,25.012,67.5632,58.2612,-74.1075,-180.07,-54.3058,-93.1941,-19.5293,25.9935
61.986,-78.3697,98.013,19.376,76.5179,85.2647,-201.12,-151.239,-81.1871,-99.4449,12.2134,35.9508
62.1069,-62.4341,83.5493,26.808,51.194,82.1341,-237.146,-67.7813,-87.5217,-71.9061,12.668,41.1402
62.3848,-94.1393,88.9362,-2.9778,90.2953,63.945,16.5903,-163.583,-95.4414,-121.498,-27.1879,5.80517
62.4192,-93.3423,75.419,-4.2776,88.3043,45.41,127.785,-158.105,-95.818,-128.279,-49.7355,6.12026
62.8581,-74.5922,76.7248,4.7737,43.662,46.304,-67.438,-50.5495,-81.2271,-65.2902,-38.0196,-11.078
63.0339,-89.8083,86.4863,20.077,92.013,40.519,-27.9331,-172.335,-87.6462,-125.295,-36.1046,40.8343
63.0391,-83.3539,82.9752,40.203,53.682,48.027,-52.029,-160.299,-35.2671,-74.4231,-24.1268,25.0882
63.1268,-90.2861,90.5508,35.391,48.549,63.5828,-51.051,-199.117,-8.17456,-71.6643,-10.1054,23.5405
63.2448,-79.1982,91.0968,-6.71249,85.6927,51.286,-126.534,-84.9554,-118.735,-117.1,-33.7072,20.7473
63.3388,-83.3189,77.9601,-4.9452,48.859,77.339,15.5087,-81.0694,-67.2649,-74.647,-17.2794,-12.992
63.3531,-71.1298,77.0451,9.34758,87.1039,78.3588,-112.87,-45.3278,-140.278,-113.069,-4.51322,17.9519
63.3772,-72.6648,81.6482,47.25,68.9601,47.622,-134.094,-126.927,-70.2572,-84.8261,-20.8214,48.9386
63.8579,-79.1003,71.7819,38.669,51.263,89.8679,-8.64194,-119.644,-45.8025,-74.5211,12.8901,28.0352
63.8687,-78.4563,88.1501,12.542,57.106,90.4649,-125.108,-99.8794,-61.8696,-81.9162,9.73221,19.7648
63.902,-73.3392,75.313,37.024,67.2337,51.626,-89.6545,-93.4317,-79.6173,-88.2331,-22.7337,34.204
63.9478,-67.9459,79.7752,42.97,55.316,99.9599,-157.859,-94.1425,-61.4475,-70.0912,30.2556,54.9868
64.2492,-65.6421,94.3931,19.508,44.558,58.2308,-268.793,-104.339,-39.1039,-63.8504,-9.81541,30.1567
64.2658,-89.2382,93.6809,19.541,50.494,78.0002,-78.8976,-171.377,-15.2253,-74.7768,-1.78137,17.9329
64.2698,-70.4538,70.6159,17.024,74.563,53.776,-76.5427,-35.282,-115.383,-100.713,-28.8491,21.4072
