q1 (deg),q2 (deg),q3 (deg),q4 (deg),q5 (deg),q6 (deg),x (mm),y (mm),z (mm),r_x (deg),r_y (deg),r_z (deg)
60.1852,-92.4542,76.181,48.364,75.9329,59.6758,244.717,-210.266,-38.6643,-101.024,-14.2833,33.8829
60.4763,-75.9129,93.9507,45.641,63.411,45.466,-89.7737,-121.556,-63.3616,-77.6319,-16.9105,50.3637
60.6161,-69.4602,89.6667,5.4708,49.25,91.2962,-139.801,8.83685,-113.755,-75.9936,14.2509,22.2056
60.6189,-65.5819,97.3169,20.928,59.7211,66.7393,-258.547,-57.0544,-91.6295,-79.4241,0.871533,43.6443
61.169,-94.5478,73.1782,25.591,74.3963,47.532,315.28,-184.111,-39.9587,-106.005,-38.8651,14.0737
61.2223,-69.2391,92.5579,6.51722,71.7618,95.9481,-179.417,-7.25815,-130.819,-97.7048,20.4655,25.2411
61.2732,-88.3822,73.1197,26.158,63.3961,46.938,251.7,-119.76,-55.5418,-91.2665,-37.334,10.0054
61.3781,-95.6891,76.3781,49.769,44.684,72.5599,284.658,-241.732,40.1054,-70.0958,-1.85736,20.8461
61.4279,-84.949,80.7888,30.599,67.2532,68.7693,128.32,-102.861,-68.724,-92.6072,-8.48033,24.1491
61.5099,-75.4969,94.2762,13.333,77.2158,49.774,-118.977,-55.7188,-109.996,-102.068,-24.2905,36.0685
61.6972,-98.2938,99.9101,9.49127,96.8872,88.0309,76.4041,-209.877,-60.0544,-124.531,3.95452,10.7262
61.7207,-74.8839,91.6881,9.89991,97.3851,42.092,-101.114,-46.6138,-149.09,-125.975,-27.5737,50.1474
61.8468,-89.3889,92.0881,25.012,67.5632,58.2612,62.039,-145.455,-40.5933,-92.4808,-18.5349,25.6685
62.1069,-62.4341,83.5493,26.808,51.194,82.1341,-175.588,25.4154,-102.664,-71.172,13.6331,40.8354
62.1579,-91.0378,84.5571,15.903,64.4068,83.6249,167.802,-125.026,-42.8819,-91.4976,-1.48473,7.98123
62.3848,-94.1393,88.9362,-2.9778,90.2953,63.945,179.766,-131.457,-82.5256,-120.267,-26.2875,5.44223
62.8581,-74.5922,76.7248,4.7737,43.662,46.304,65.101,33.3095,-86.4409,-65.2933,-36.8211,-11.3096
63.0339,-89.8083,86.4863,20.077,92.013,40.519,126.015,-135.583,-75.0813,-123.944,-35.516,39.9164
63.0391,-83.3539,82.9752,40.203,53.682,48.027,94.0064,-111.571,-22.6605,-73.7403,-23.1336,24.796
63.1268,-90.2861,90.5508,35.391,48.549,63.5828,94.3637,-169.513,15.2765,-70.8838,-9.17549,23.3194
63.2448,-79.1982,91.0968,-6.71249,85.6927,51.286,-22.2537,-16.0615,-121.632,-116.362,-32.7361,20.2638
63.3531,-71.1298,77.0451,9.34758,87.1039,78.3588,2.59913,44.9486,-153.508,-112.31,-3.48036,17.8279
63.3772,-72.6648,81.6482,47.25,68.9601,47.622,-22.2028,-55.1755,-70.9238,-83.7446,-19.9785,48.0766
63.4213,-78.6367,92.7802,39.772,45.491,77.3682,-41.9079,-110.494,-6.90542,-63.2551,10.7918,43.9124
63.8579,-79.1003,71.7819,38.669,51.263,89.8679,156.362,-57.3065,-36.5889,-73.5064,13.6741,28.1265
63.8687,-78.4563,88.1501,12.542,57.106,90.4649,-14.1877,-32.4153,-56.1075,-81.3101,10.7175,19.559
