q1 (deg),q2 (deg),q3 (deg),q4 (deg),q5 (deg),q6 (deg),x (mm),y (mm),z (mm),r_x (deg),r_y (deg),r_z (deg)
60.0259,-65.0021,83.5848,42.851,61.2452,43.133,-135.504,-24.0254,-122.369,-76.6093,-19.2177,46.5482
60.0941,-83.7429,79.3907,40.2,85.0527,91.9798,122.229,-124.247,-105.703,-109.971,19.1644,31.0566
60.1119,-66.9828,72.1211,38.398,53.096,65.991,-3.89397,19.7067,-134.339,-76.0913,-2.63752,32.7562
60.1422,-88.7729,98.6152,15.457,40.2,99.6769,3.48763,-147.123,-19.4795,-66.2978,21.8933,25.5106
60.1548,-77.296,88.1599,1.2362,90.9089,75.9668,-25.0873,-25.1086,-172.451,-120.213,-5.72171,17.2876
60.1852,-92.4542,76.181,48.364,75.9329,59.6758,244.717,-210.266,-38.6643,-101.024,-14.2833,33.8829
60.1921,-78.8631,92.5722,0.28615,87.627,85.4297,-51.8415,-45.7361,-153.912,-116.644,3.33064,13.8502
60.2408,-83.3997,74.5452,8.0241,85.3759,60.6109,199.321,-50.1695,-147.501,-117.303,-26.4427,12.2615
60.305,-96.3039,78.4872,13.085,79.554,66.6728,294.184,-177.847,-62.3706,-110.263,-23.995,3.43132
60.3118,-94.581,75.2849,0.28512,42.053,52.511,329.018,-144.947,-22.089,-62.7167,-43.3166,-33.4778
60.4568,-88.3272,80.1831,17.509,51.106,48.691,185.817,-106.336,-54.3164,-77.5592,-35.3677,-0.721376
60.4763,-75.9129,93.9507,45.641,63.411,45.466,-89.7737,-121.556,-63.3616,-77.6319,-16.9105,50.3637
60.5101,-79.636,90.5411,42.501,72.478,84.419,-26.9566,-122.595,-77.4436,-90.9011,18.1478,49.0141
60.5198,-66.851,73.5959,-3.2993,48.757,82.864,-5.63248,100.15,-167.735,-77.8486,-4.55951,0.768768
60.5611,-91.0768,83.029,3.7739,61.1191,65.284,201.409,-105.59,-68.604,-90.1093,-26.2518,-4.40354
60.5742,-70.1529,97.1318,19.791,61.715,63.8871,-203.268,-64.5793,-91.1473,-82.9699,-4.28598,38.3194
60.6161,-69.4602,89.6667,5.4708,49.25,91.2962,-139.801,8.83685,-113.755,-75.9936,14.2509,22.2056
