q1 (deg),q2 (deg),q3 (deg),q4 (deg),q5 (deg),q6 (deg),x (mm),y (mm),z (mm),r_x (deg),r_y (deg),r_z (deg)
60.0941,-83.7429,79.3907,40.2,85.0527,91.9798,-34.1239,-169.632,-103.613,-110.985,18.4925,31.1376
60.1548,-77.296,88.1599,1.2362,90.9089,75.9668,-131.135,-94.592,-155.152,-120.47,-6.69466,17.4483
60.305,-96.3039,78.4872,13.085,79.554,66.6728,93.7262,-195.144,-79.3841,-111.319,-24.842,3.81947
60.4568,-88.3272,80.1831,17.509,51.106,48.691,15.3433,-147.519,-62.0324,-77.9971,-36.501,-0.0454531
60.4763,-75.9129,93.9507,45.641,63.411,45.466,-179.243,-174.892,-61.4973,-78.2055,-17.9187,50.9015
60.4957,-73.6818,78.7611,41.223,72.6848,45.688,-111.075,-118.68,-108.257,-94.4486,-23.8127,45.0123
60.5101,-79.636,90.5411,42.501,72.478,84.419,-136.974,-172.866,-76.1041,-91.8867,17.5116,49.3002
60.5198,-66.851,73.5959,-3.2993,48.757,82.864,-114.938,-2.92053,-139.448,-78.0457,-5.74267,1.07398
60.5742,-70.1529,97.1318,19.791,61.715,63.8871,-257.721,-129.535,-83.0494,-83.5728,-5.32593,39.0429
60.6161,-69.4602,89.6667,5.4708,49.25,91.2962,-211.545,-72.257,-98.6033,-76.447,13.2597,22.4662
60.6447,-70.271,96.8683,3.2992,74.2502,96.5869,-258.913,-101.457,-117.438,-100.974,20.2081,24.9818
60.655,-93.9049,95.7372,29.604,90.6093,64.3552,-73.5462,-228.393,-74.0744,-116.143,-8.78138,38.8654
60.6871,-62.0118,84.8161,10.077,67.6388,66.8722,-259.215,-46.7165,-137.447,-93.1475,-8.0379,29.9586
60.9048,-84.1572,73.1931,-0.67232,80.771,61.9138,59.6637,-97.2827,-130.787,-113.048,-32.4994,0.240735
60.957,-69.737,94.5512,4.4388,77.7888,56.32,-249.673,-93.2518,-124.528,-104.223,-19.5896,33.5165
60.9868,-84.195,91.5357,10.015,72.4591,97.8732,-102.705,-132.68,-95.2889,-101.031,15.5799,13.4836
61.0739,-70.6858,77.5762,14.073,48.533,50.188,-118.317,-52.6659,-104.69,-73.9566,-28.9655,7.57777
61.173,-95.1918,71.575,39.245,55.175,55.591,109.927,-225.977,-18.1835,-82.5007,-27.0833,9.18086
61.2108,-75.7061,99.9937,-1.363,91.5632,94.3633,-230.334,-124.337,-127.276,-119.26,14.2175,18.0666
61.216,-97.2751,80.6369,41.66,50.753,69.5978,59.9871,-241.459,-3.10865,-77.6447,-8.4927,17.2649
61.2223,-69.2391,92.5579,6.51722,71.7618,95.9481,-240.535,-84.817,-117.008,-97.8288,19.3524,25.4718
61.2732,-88.3822,73.1197,26.158,63.3961,46.938,59.7333,-156.888,-66.9506,-92.148,-38.3363,10.779
61.283,-71.7561,90.3572,-5.4236,51.777,51.296,-190.145,-60.0508,-101.49,-77.7326,-32.2025,3.36108
61.3397,-61.2211,89.111,44.325,50.217,41.02,-262.011,-116.908,-67.3217,-61.9605,-16.8993,45.997
61.3621,-94.6119,72.2408,-2.3568,57.3221,92.3608,155.083,-165.869,-53.1989,-84.1573,-9.74623,-21.936
61.3621,-75.6379,86.6329,27.039,57.179,41.551,-142.283,-115.464,-78.0743,-79.2892,-31.1022,25.466
61.3781,-95.6891,76.3781,49.769,44.684,72.5599,80.489,-247.041,8.34582,-70.8891,-2.64931,20.8443
61.3913,-78.9209,84.6889,27.163,82.0137,74.5441,-107.97,-129.288,-108.544,-106.408,-0.212846,33.6709
61.4279,-84.949,80.7888,30.599,67.2532,68.7693,-28.33,-150.133,-74.1881,-93.5869,-9.31,24.3383
61.5099,-75.4969,94.2762,13.333,77.2158,49.774,-199.677,-119.567,-103.952,-102.862,-25.2567,36.8605
61.6898,-91.2848,82.071,-0.825879,41.372,89.9229,42.8155,-142.157,-42.6165,-69.6018,-5.19185,-9.24788
61.6972,-98.2938,99.9101,9.49127,96.8872,88.0309,-60.5732,-223.376,-79.3619,-124.964,3.07262,10.7872
61.7631,-64.0418,76.4881,25.01,49.661,58.0011,-177.359,-45.0621,-102.17,-73.165,-14.3022,23.9639
61.8347,-70.1908,70.2068,16.76,94.2269,84.4139,-76.5591,-49.8474,-167.408,-121.539,2.58658,17.6793
61.8468,-89.3889,92.0881,25.012,67.5632,58.2612,-74.1075,-180.07,-54.3058,-93.1941,-19.5293,25.9935
61.911,-86.28,72.325,28.985,80.814,87.529,44.6395,-151.659,-91.0504,-108.428,4.18562,13.8357
61.9511,-82.098,92.7177,23.115,71.6742,86.6811,-134.998,-149.772,-75.3987,-95.9993,11.4325,30.3801
61.986,-78.3697,98.013,19.376,76.5179,85.2647,-201.12,-151.239,-81.1871,-99.4449,12.2134,35.9508
62.088,-83.037,76.5901,48.586,74.2152,94.5478,-19.0036,-169.272,-68.8632,-96.5187,22.5579,37.7177
62.1069,-62.4341,83.5493,26.808,51.194,82.1341,-237.146,-67.7813,-87.5217,-71.9061,12.668,41.1402
62.159,-91.3409,95.5178,32.237,65.0152,48.727,-85.4893,-208.567,-32.5353,-88.1603,-25.6413,31.0808
62.182,-83.9681,74.0422,15.322,64.8898,66.6739,27.6743,-110.768,-85.4103,-92.7483,-21.2877,5.64321
62.2943,-64.1438,74.2502,36.5,71.072,71.339,-169.416,-60.658,-118.233,-91.3779,0.758293,42.9074
62.3607,-99.7737,86.3402,6.51178,99.6013,74.8369,64.6204,-217.04,-83.0934,-129.025,-15.7834,3.26938
62.3642,-86.3808,82.5449,9.7942,97.8549,89.8673,-13.6406,-137.749,-121.36,-125.753,2.1233,5.25147
62.3848,-94.1393,88.9362,-2.9778,90.2953,63.945,16.5903,-163.583,-95.4414,-121.498,-27.1879,5.80517
62.4192,-93.3423,75.419,-4.2776,88.3043,45.41,127.785,-158.105,-95.818,-128.279,-49.7355,6.12026
62.4278,-70.8921,72.9398,27.647,66.9662,62.0129,-94.2419,-63.5674,-109.745,-91.6173,-15.1538,27.0171
62.4421,-89.453,86.9572,-5.515,52.314,64.7242,-3.77941,-123.287,-58.277,-78.0768,-28.947,-12.5951
62.4822,-84.0689,86.771,-1.8752,44.135,79.9757,-52.7076,-103.029,-58.293,-71.5347,-9.51246,-2.86831
62.5653,-80.1522,87.5531,43.393,58.4749,67.8267,-107.745,-162.197,-44.1437,-78.0408,-0.928951,41.8677
62.6031,-80.3178,73.2039,20.142,82.2469,75.9152,-4.66056,-100.772,-113.125,-109.366,-7.93228,15.976
62.6461,-78.6281,82.9442,0.729667,97.0447,78.0391,-75.938,-84.2927,-144.609,-124.911,-8.12308,11.1217
62.7268,-80.076,77.2977,22.037,97.7048,89.7338,-40.1269,-117.542,-127.953,-124.055,7.98328,17.2446
62.7429,-66.148,70.8182,-2.4991,69.6338,84.2431,-102.073,11.9704,-149.376,-96.993,-5.24278,2.23494
62.7589,-93.6918,92.8891,9.64351,90.097,82.554,-37.6826,-182.863,-81.3007,-117.409,-3.15108,11.0369
62.771,-80.3539,81.9398,12.122,50.289,81.4643,-60.3006,-96.0297,-66.4787,-76.9358,-2.53176,9.83794
62.8088,-99.0392,76.7958,14.457,61.864,83.9332,123.195,-210.566,-23.991,-89.1028,-10.0825,-7.67609
62.83,-79.4022,83.3808,29.978,67.4738,81.1159,-92.0937,-125.421,-74.1401,-91.0444,5.55793,30.5181
62.838,-82.432,99.0718,36.618,48.007,99.6408,-158.149,-191.842,-12.5036,-63.7285,30.0294,54.0736
62.8581,-74.5922,76.7248,4.7737,43.662,46.304,-67.438,-50.5495,-81.2271,-65.2902,-38.0196,-11.078
62.944,-76.4652,74.8879,47.002,93.2729,86.3591,-62.3798,-138.833,-106.701,-113.716,15.4833,43.4502
63.0339,-89.8083,86.4863,20.077,92.013,40.519,-27.9331,-172.335,-87.6462,-125.295,-36.1046,40.8343
63.0391,-83.3539,82.9752,40.203,53.682,48.027,-52.029,-160.299,-35.2671,-74.4231,-24.1268,25.0882
63.0958,-77.1092,70.9511,-2.3013,95.1591,79.4108,13.1706,-53.8644,-153.046,-122.91,-13.3569,-1.95144
63.1268,-90.2861,90.5508,35.391,48.549,63.5828,-51.051,-199.117,-8.17456,-71.6643,-10.1054,23.5405
63.2448,-79.1982,91.0968,-6.71249,85.6927,51.286,-126.534,-84.9554,-118.735,-117.1,-33.7072,20.7473
63.313,-66.4138,93.9422,32.219,74.5091,71.3882,-269.984,-131.916,-75.8432,-89.2448,3.88751,56.1737
63.3262,-81.2993,96.2059,3.0675,41.316,78.965,-148.973,-123.39,-35.8585,-67.3095,-2.51842,11.1599
63.333,-88.8491,95.8501,7.06749,54.928,48.943,-92.2893,-152.85,-37.6544,-78.8872,-34.677,4.84912
63.3388,-83.3189,77.9601,-4.9452,48.859,77.339,15.5087,-81.0694,-67.2649,-74.647,-17.2794,-12.992
63.3531,-71.1298,77.0451,9.34758,87.1039,78.3588,-112.87,-45.3278,-140.278,-113.069,-4.51322,17.9519
63.3772,-72.6648,81.6482,47.25,68.9601,47.622,-134.094,-126.927,-70.2572,-84.8261,-20.8214,48.9386
63.4161,-74.2078,92.1648,12.503,56.738,52.781,-190.228,-99.7963,-65.3856,-79.2908,-24.0021,20.5329
63.635,-85.5122,94.8732,-6.59108,73.4721,78.0242,-99.7199,-114.226,-81.0571,-100.054,-11.128,4.12395
63.6751,-89.8501,87.9112,-5.99938,65.5292,52.511,-6.14222,-122.829,-65.319,-91.9869,-41.5373,-6.1395
63.6957,-88.5059,92.4301,44.632,61.2773,98.2829,-80.2142,-210.497,-14.7151,-79.4441,27.3374,46.4926
63.7089,-84.0592,81.3262,40.557,54.084,46.823,-35.6395,-160.927,-29.8483,-74.3388,-26.5008,23.0849
63.7799,-81.2362,70.067,1.9494,74.834,88.5168,53.8623,-72.3585,-104.169,-101.047,-6.06134,-8.43007
63.8579,-79.1003,71.7819,38.669,51.263,89.8679,-8.64194,-119.644,-45.8025,-74.5211,12.8901,28.0352
63.8687,-78.4563,88.1501,12.542,57.106,90.4649,-125.108,-99.8794,-61.8696,-81.9162,9.73221,19.7648
63.902,-73.3392,75.313,37.024,67.2337,51.626,-89.6545,-93.4317,-79.6173,-88.2331,-22.7337,34.204
63.9478,-67.9459,79.7752,42.97,55.316,99.9599,-157.859,-94.1425,-61.4475,-70.0912,30.2556,54.9868
64.1088,-76.8571,72.3078,20.567,52.528,74.2588,-25.8236,-75.5552,-66.4581,-77.5263,-8.90631,10.6015
64.1472,-99.5463,92.076,-0.843027,96.8448,54.998,26.9635,-201.635,-71.7276,-129.672,-32.9319,13.8335
64.2223,-66.5198,72.8441,31.092,65.4593,43.812,-135.589,-49.0744,-94.9828,-86.0647,-31.3134,30.9516
64.2492,-65.6421,94.3931,19.508,44.558,58.2308,-268.793,-104.339,-39.1039,-63.8504,-9.81541,30.1567
64.2658,-89.2382,93.6809,19.541,50.494,78.0002,-78.8976,-171.377,-15.2253,-74.7768,-1.78137,17.9329
64.2698,-70.4538,70.6159,17.024,74.563,53.776,-76.5427,-35.282,-115.383,-100.713,-28.8491,21.4072
64.3369,-91.1318,89.5413,20.664,68.8609,69.8029,-39.7313,-173.168,-39.5471,-93.5231,-12.5351,17.9907
64.4039,-93.8539,82.4268,18.784,85.4039,50.546,36.4149,-183.515,-60.2949,-115.351,-33.9677,22.1844
64.405,-84.368,99.8471,47.196,66.8481,70.6491,-154.43,-221.522,-11.6854,-80.9103,3.24678,56.2184
64.4451,-93.3102,92.276,43.767,75.698,59.5481,-53.6793,-234.038,-19.5107,-95.5163,-13.7627,41.9797
64.4469,-64.4148,77.7991,21.829,59.799,47.214,-187.057,-38.3135,-89.0917,-80.2877,-28.3616,24.9065
64.448,-74.4272,71.1172,30.027,41.991,44.033,-39.3528,-81.1889,-47.8289,-61.4476,-30.6292,3.33462
64.5569,-72.1308,84.8957,-7.92217,85.0499,97.4509,-144.956,-36.2754,-127.183,-110.834,8.52841,1.47559
64.558,-97.7271,72.1067,22.271,54.632,53.639,139.031,-216.622,1.70719,-77.5125,-37.5653,-10.9632
64.5609,-76.703,99.9273,12.851,80.5109,69.1142,-227.122,-140.239,-69.5008,-101.556,-6.23896,36.9822
64.5872,-90.7691,97.1421,31.406,65.4238,76.263,-100.506,-206.698,-15.7037,-86.6104,1.15678,33.4445
64.6972,-83.7217,98.708,16.792,49.117,97.4532,-153.625,-159.131,-15.1923,-70.9207,19.8247,31.1311
64.703,-89.2399,72.215,23.794,81.7181,78.0002,75.0292,-158.296,-64.4018,-107.33,-9.14786,9.4344
64.7603,-72.1617,78.9198,45.34,71.2078,68.2662,-122.991,-112.541,-67.5441,-88.0308,-2.34012,47.8558
64.9213,-94.9821,85.0562,23.282,60.9432,86.6811,21.284,-193.457,-14.0893,-85.724,1.87203,11.4061
64.9327,-66.6831,92.743,25.293,93.4557,94.5673,-266.436,-120.082,-95.6966,-111.017,23.4119,46.7254
64.9402,-66.584,77.3229,48.113,62.6008,49.006,-156.036,-91.5252,-63.1231,-76.5754,-19.1515,46.31
64.9482,-62.6123,77.5418,34.86,78.0569,90.5073,-207.259,-59.8489,-100.002,-95.6297,19.1626,46.5548
