q1 (deg),q2 (deg),q3 (deg),q4 (deg),q5 (deg),q6 (deg),x (mm),y (mm),z (mm),r_x (deg),r_y (deg),r_z (deg)
79.4721,-76.5558,76.3609,1.7286,84.8602,86.1757,-42.7189,-34.562,30.0629,-95.4206,-4.076,1.50239
79.5437,-92.4118,76.365,30.108,66.8808,64.8663,62.5174,-188.883,84.2982,-76.2677,-22.34,7.47879
79.5558,-76.6881,91.0808,19.073,90.7817,53.504,-169.235,-110.354,37.1404,-101.159,-30.8757,39.0116
79.5701,-95.2307,84.6282,47.812,59.9537,89.1402,16.0866,-249.149,105.261,-68.9918,5.31881,35.6995
79.5907,-99.0988,70.3982,14.806,80.2702,55.41,174.99,-223.027,71.4876,-90.5157,-37.657,-13.8716
79.5959,-85.5042,85.169,43.064,57.4871,99.4712,-51.5518,-183.489,96.6672,-65.0556,15.5356,45.6127
79.597,-71.1121,81.9169,4.1832,95.4863,51.23,-144.899,-29.9387,15.5163,-108.864,-35.1793,26.1295
79.6348,-87.2769,93.9353,16.967,75.4958,49.343,-100.323,-155.299,67.904,-83.7913,-36.897,18.5555
79.7672,-90.1308,89.6112,43.979,64.2309,80.991,-51.9897,-217.021,95.4046,-72.3972,-1.81282,39.4337
79.9351,-72.0042,71.8609,36.257,91.832,64.2377,-80.9398,-71.8481,31.3909,-100.995,-19.9218,39.7977
79.986,-98.8948,85.4733,9.62151,95.4731,53.144,61.5468,-201.533,48.8085,-109.244,-36.5964,7.4581
80.0009,-62.8672,71.9263,7.00309,91.526,89.5871,-157.616,26.4597,15.5075,-101.414,1.80177,15.4299
80.0193,-95.0772,71.8008,16.311,55.322,54.937,132.303,-195.437,103.436,-60.1422,-33.0423,-23.857
80.068,-62.983,95.8661,10.263,71.9801,47.922,-317.605,-84.9407,65.7195,-76.743,-35.086,33.1958
80.1889,-94.9821,70.1827,37.414,75.1262,72.9198,117.583,-224.544,83.4271,-84.6594,-15.3586,10.3859
80.2382,-83.6948,72.4259,30.382,40.275,92.6312,31.4541,-143.992,112.846,-49.9377,5.02877,19.8089
80.272,-79.6881,74.7962,39.027,57.9501,50.169,-26.8442,-126.192,91.0196,-61.9085,-30.9988,15.312
80.394,-78.2798,98.123,-1.9941,62.8397,90.3881,-190.322,-102.607,83.0203,-72.2339,3.01624,17.0484
