q1 (deg),q2 (deg),q3 (deg),q4 (deg),q5 (deg),q6 (deg),x (mm),y (mm),z (mm),r_x (deg),r_y (deg),r_z (deg)
60.0259,-65.0021,83.5848,42.851,61.2452,43.133,-135.504,-24.0254,-122.369,-76.6093,-19.2177,46.5482
60.1852,-92.4542,76.181,48.364,75.9329,59.6758,244.717,-210.266,-38.6643,-101.024,-14.2833,33.8829
60.4763,-75.9129,93.9507,45.641,63.411,45.466,-89.7737,-121.556,-63.3616,-77.6319,-16.9105,50.3637
60.5742,-70.1529,97.1318,19.791,61.715,63.8871,-203.268,-64.5793,-91.1473,-82.9699,-4.28598,38.3194
60.6161,-69.4602,89.6667,5.4708,49.25,91.2962,-139.801,8.83685,-113.755,-75.9936,14.2509,22.2056
60.6189,-65.5819,97.3169,20.928,59.7211,66.7393,-258.547,-57.0544,-91.6295,-79.4241,0.871533,43.6443
60.6871,-62.0118,84.8161,10.077,67.6388,66.8722,-206.461,48.7483,-163.585,-92.3896,-7.11497,29.5262
61.169,-94.5478,73.1782,25.591,74.3963,47.532,315.28,-184.111,-39.9587,-106.005,-38.8651,14.0737
61.173,-95.1918,71.575,39.245,55.175,55.591,325.831,-218.332,10.5331,-81.7231,-26.2183,8.48293
61.216,-97.2751,80.6369,41.66,50.753,69.5978,255.007,-236.101,27.6271,-76.8592,-7.71263,17.1469
61.2223,-69.2391,92.5579,6.51722,71.7618,95.9481,-179.417,-7.25815,-130.819,-97.7048,20.4655,25.2411
61.2732,-88.3822,73.1197,26.158,63.3961,46.938,251.7,-119.76,-55.5418,-91.2665,-37.334,10.0054
61.283,-71.7561,90.3572,-5.4236,51.777,51.296,-111.136,20.8334,-114.162,-77.8878,-31.0545,3.2581
61.3781,-95.6891,76.3781,49.769,44.684,72.5599,284.658,-241.732,40.1054,-70.0958,-1.85736,20.8461
61.3913,-78.9209,84.6889,27.163,82.0137,74.5441,14.582,-67.4445,-113.984,-105.554,0.592577,33.3267
61.4279,-84.949,80.7888,30.599,67.2532,68.7693,128.32,-102.861,-68.724,-92.6072,-8.48033,24.1491
61.5099,-75.4969,94.2762,13.333,77.2158,49.774,-118.977,-55.7188,-109.996,-102.068,-24.2905,36.0685
61.6898,-91.2848,82.071,-0.825879,41.372,89.9229,219.294,-103.32,-27.6247,-69.2911,-4.09877,-9.68928
61.6972,-98.2938,99.9101,9.49127,96.8872,88.0309,76.4041,-209.877,-60.0544,-124.531,3.95452,10.7262
61.7207,-74.8839,91.6881,9.89991,97.3851,42.092,-101.114,-46.6138,-149.09,-125.975,-27.5737,50.1474
61.7631,-64.0418,76.4881,25.01,49.661,58.0011,-89.0753,53.1904,-121.431,-72.5432,-13.0867,23.66
61.8468,-89.3889,92.0881,25.012,67.5632,58.2612,62.039,-145.455,-40.5933,-92.4808,-18.5349,25.6685
61.911,-86.28,72.325,28.985,80.814,87.529,231.135,-108.615,-83.6574,-107.102,5.01565,13.8338
62.0261,-82.9798,99.4597,18.423,48.566,57.8561,-70.1966,-119.633,-22.8587,-71.8406,-14.3611,21.0003
62.088,-83.037,76.5901,48.586,74.2152,94.5478,144.664,-122.594,-61.924,-95.5971,23.2336,37.7849
62.1069,-62.4341,83.5493,26.808,51.194,82.1341,-175.588,25.4154,-102.664,-71.172,13.6331,40.8354
62.1579,-91.0378,84.5571,15.903,64.4068,83.6249,167.802,-125.026,-42.8819,-91.4976,-1.48473,7.98123
62.159,-91.3409,95.5178,32.237,65.0152,48.727,46.4593,-182.645,-12.7796,-87.2646,-24.6978,30.662
62.3848,-94.1393,88.9362,-2.9778,90.2953,63.945,179.766,-131.457,-82.5256,-120.267,-26.2875,5.44223
62.7429,-66.148,70.8182,-2.4991,69.6338,84.2431,12.2398,120.995,-172.619,-96.4317,-4.10947,2.08083
62.771,-80.3539,81.9398,12.122,50.289,81.4643,76.7732,-30.0986,-63.3393,-76.6239,-1.37322,9.75912
62.8088,-99.0392,76.7958,14.457,61.864,83.9332,336.059,-203.784,9.53724,-88.3977,-9.08588,-7.74121
62.8581,-74.5922,76.7248,4.7737,43.662,46.304,65.101,33.3095,-86.4409,-65.2933,-36.8211,-11.3096
62.9343,-62.2731,77.4679,-3.5776,83.5561,83.4547,-122.45,115.77,-190.21,-110.182,-0.250963,12.0073
63.0339,-89.8083,86.4863,20.077,92.013,40.519,126.015,-135.583,-75.0813,-123.944,-35.516,39.9164
63.0391,-83.3539,82.9752,40.203,53.682,48.027,94.0064,-111.571,-22.6605,-73.7403,-23.1336,24.796
63.1268,-90.2861,90.5508,35.391,48.549,63.5828,94.3637,-169.513,15.2765,-70.8838,-9.17549,23.3194
63.2448,-79.1982,91.0968,-6.71249,85.6927,51.286,-22.2537,-16.0615,-121.632,-116.362,-32.7361,20.2638
63.3262,-81.2993,96.2059,3.0675,41.316,78.965,-52.0568,-66.4744,-25.0098,-66.9288,-1.4191,11.1351
63.333,-88.8491,95.8501,7.06749,54.928,48.943,30.5748,-112.17,-20.0934,-78.7521,-33.5399,4.66683
63.3531,-71.1298,77.0451,9.34758,87.1039,78.3588,2.59913,44.9486,-153.508,-112.31,-3.48036,17.8279
63.3772,-72.6648,81.6482,47.25,68.9601,47.622,-22.2028,-55.1755,-70.9238,-83.7446,-19.9785,48.0766
63.3857,-90.9341,81.8762,36.289,44.897,43.622,188.566,-166.145,20.8983,-65.387,-30.6211,6.26767
63.4161,-74.2078,92.1648,12.503,56.738,52.781,-107.321,-29.0113,-63.3589,-79.0522,-22.8754,20.1846
63.4213,-78.6367,92.7802,39.772,45.491,77.3682,-41.9079,-110.494,-6.90542,-63.2551,10.7918,43.9124
63.6751,-89.8501,87.9112,-5.99938,65.5292,52.511,147.439,-76.5951,-50.7152,-91.6064,-40.4248,-6.80651
63.6957,-88.5059,92.4301,44.632,61.2773,98.2829,54.603,-179.611,8.24519,-78.4277,27.9819,46.7296
63.7799,-81.2362,70.067,1.9494,74.834,88.5168,233.815,-3.65187,-101.808,-100.296,-4.92572,-8.64327
63.8579,-79.1003,71.7819,38.669,51.263,89.8679,156.362,-57.3065,-36.5889,-73.5064,13.6741,28.1265
63.8687,-78.4563,88.1501,12.542,57.106,90.4649,-14.1877,-32.4153,-56.1075,-81.3101,10.7175,19.559
63.8848,-67.0252,86.8558,23.108,43.02,74.8122,-138.871,2.64971,-53.7461,-63.8181,4.79926,32.0189
63.902,-73.3392,75.313,37.024,67.2337,51.626,41.6848,-15.8613,-80.321,-87.2214,-21.8054,33.5878
64.193,-72.0941,81.3881,24.448,90.69,78.3119,-39.1275,-8.33666,-119.919,-112.257,3.87588,34.9556
64.2223,-66.5198,72.8441,31.092,65.4593,43.812,-26.1709,47.7059,-103.639,-85.1078,-30.2178,30.3269
64.2492,-65.6421,94.3931,19.508,44.558,58.2308,-223.965,-27.1156,-35.7213,-63.1678,-8.70637,30.0612
64.2658,-89.2382,93.6809,19.541,50.494,78.0002,52.2359,-134.483,8.28714,-74.2143,-0.757945,17.9588
64.2698,-70.4538,70.6159,17.024,74.563,53.776,56.8843,58.3118,-123.612,-99.7002,-27.8733,20.7291
64.4451,-93.3102,92.276,43.767,75.698,59.5481,94.5992,-215.429,9.62366,-94.3198,-13.0592,41.5406
64.4469,-64.4148,77.7991,21.829,59.799,47.214,-102.682,61.8962,-97.7246,-79.6162,-27.1638,24.4846
64.448,-74.4272,71.1172,30.027,41.991,44.033,110.903,-3.08598,-42.7739,-61.2945,-29.4856,3.32497
64.558,-97.7271,72.1067,22.271,54.632,53.639,361.113,-211.498,42.0348,-77.4055,-36.5317,-11.7493
64.6972,-83.7217,98.708,16.792,49.117,97.4532,-55.531,-113.069,5.37152,-70.107,20.7698,31.2209
64.703,-89.2399,72.215,23.794,81.7181,78.0002,272.23,-122.105,-43.3098,-106.295,-8.20497,9.20592
64.7603,-72.1617,78.9198,45.34,71.2078,68.2662,-5.7163,-36.3991,-64.6458,-86.9001,-1.64304,47.2076
